Example_Instance.txt
runtime: 831.782910
	VEHICLE
	NUMBER		CAPACITY
	82			150

CUSTOMERS
CUST ID	 XCOORD	 YCOORD	 DEMAND	 START TIME WINDOW	 END TIME WINDOW	 SERVICE TIME

0	81	465	0		0			900			0
1	134	258	25		240			281			24
2	175	92	30		411			444			25
3	262	386	14		404			445			19
4	399	484	16		295			348			24
5	188	145	20		343			400			27
6	244	347	34		395			431			18
7	49	455	28		328			380			25
8	177	397	14		418			463			24
9	235	271	38		412			454			30
10	187	266	15		521			570			29
11	26	160	17		492			549			23
12	279	478	49		226			271			32
13	232	174	34		322			363			26
14	121	306	25		326			355			26
15	215	234	42		286			325			25
16	103	413	20		403			440			24
17	208	94	29		395			446			25
18	4	59	10		424			467			16
19	284	492	35		306			352			32
20	108	262	25		199			254			30
21	38	182	38		281			310			29
22	20	366	12		287			336			23
23	341	226	18		373			410			24
24	235	279	42		281			314			20
25	438	464	28		428			485			34
26	307	236	25		434			464			27
27	192	434	31		712			747			31
28	405	388	22		357			402			24
29	252	293	46		280			333			30
30	458	369	34		387			443			30
31	231	191	42		380			430			25
32	155	153	37		502			535			18
33	239	493	40		316			371			27
34	210	91	19		383			418			25
35	204	496	47		170			218			27
36	424	345	37		399			443			31
37	339	484	37		451			501			23
38	66	57	27		413			454			32
39	142	121	18		369			425			26
40	390	413	22		301			330			28
41	143	407	48		122			152			27
42	168	335	11		327			367			26
43	79	365	20		669			710			28
44	22	141	13		463			501			28
45	283	458	12		458			487			27
46	178	244	30		390			443			30
47	285	498	20		346			375			32
48	165	355	11		521			566			29
49	249	275	45		550			588			24
50	115	422	48		610			665			20
51	52	284	20		432			462			30
52	114	431	19		601			640			25
53	191	341	10		192			240			25
54	268	300	18		412			461			29
55	220	470	15		594			639			29
56	290	297	35		282			312			27
57	469	286	49		414			443			26
58	119	288	17		187			238			22
59	200	311	15		624			680			23
60	236	388	23		444			488			23
61	49	338	11		298			333			22
62	41	147	33		341			371			25
63	259	476	18		536			569			23
64	359	366	12		315			371			30
65	35	471	32		366			423			26
66	47	52	37		408			441			27
67	291	483	28		300			345			22
68	28	408	46		745			787			24
69	84	251	40		262			306			24
70	499	420	21		413			451			25
71	152	460	17		164			199			20
72	31	233	32		383			430			31
73	377	164	10		417			450			25
74	341	417	16		437			472			25
75	395	439	29		386			434			23
76	23	44	47		415			444			29
77	448	378	43		402			452			25
78	198	130	16		438			482			23
79	71	111	24		458			498			27
80	13	155	34		435			474			31
81	151	437	34		313			346			30
82	57	271	18		627			681			17
average service time: 25.878049 - average time window width: 42.390244 - average demand: 27.060976
