Inst118_LNS_Random.txt
runtime: 815.092167
	VEHICLE
	NUMBER		CAPACITY
	300			150

CUSTOMERS
CUST ID	 XCOORD	 YCOORD	 DEMAND	 START TIME WINDOW	 END TIME WINDOW	 SERVICE TIME

0	329	3	0		0			900			0
1	316	158	40		247			294			29
2	226	84	13		637			683			30
3	440	206	45		528			574			30
4	393	3	28		116			165			29
5	124	252	45		435			486			29
6	486	345	17		444			491			29
7	113	249	12		472			522			29
8	262	289	44		471			520			29
9	162	155	36		419			468			29
10	360	227	42		441			487			29
11	407	284	45		284			332			29
12	478	196	42		442			489			29
13	378	396	48		398			447			29
14	227	350	29		407			456			30
15	165	210	28		307			357			29
16	342	42	39		223			274			29
17	376	275	48		297			344			29
18	224	80	46		513			563			29
19	267	333	15		380			426			29
20	496	381	41		403			450			29
21	194	348	14		372			419			29
22	352	314	22		304			350			29
23	210	280	32		407			458			30
24	212	7	31		678			725			29
25	446	157	36		346			395			29
26	126	366	19		392			438			29
27	378	156	18		575			624			30
28	481	11	17		367			417			30
29	301	109	41		127			173			29
30	206	188	30		285			335			29
31	103	0	26		559			607			30
32	448	153	45		600			646			29
33	313	300	49		452			500			29
34	321	173	37		548			595			29
35	205	36	11		579			627			28
36	114	271	26		471			520			29
37	478	316	41		412			463			29
38	278	98	46		330			377			30
39	99	63	18		444			490			29
40	396	1	17		307			354			29
41	435	170	14		199			247			30
42	10	219	19		368			416			29
43	199	92	19		514			563			29
44	468	297	13		451			500			29
45	337	159	28		360			408			29
46	477	187	47		578			629			29
47	318	61	42		378			426			29
48	360	77	29		221			270			29
49	136	336	36		422			473			29
50	42	101	21		366			412			30
51	182	245	12		382			432			29
52	273	295	43		360			406			29
53	232	132	25		287			337			29
54	342	294	19		440			489			30
55	255	75	25		651			702			30
56	417	125	15		439			489			29
57	32	181	19		344			390			29
58	246	346	43		430			478			29
59	390	134	39		497			548			29
60	284	229	25		263			312			29
61	259	184	31		505			556			29
62	350	340	16		333			382			30
63	271	44	48		359			409			29
64	152	278	42		459			505			30
65	317	116	37		259			310			29
66	186	155	12		402			449			29
67	377	292	30		455			502			29
68	500	84	29		422			471			30
69	230	238	49		524			570			29
70	329	73	10		563			611			29
71	187	138	21		348			395			29
72	252	160	15		209			256			30
73	385	266	44		455			503			29
74	430	411	18		403			450			29
75	353	348	11		436			482			29
76	264	249	29		376			427			30
77	55	43	25		454			501			29
78	395	42	46		269			316			29
79	124	240	23		386			437			29
80	202	124	24		274			321			29
81	286	6	48		331			380			29
82	211	51	43		656			704			29
83	499	108	27		185			231			29
84	371	31	40		491			541			29
85	145	131	22		416			464			29
86	471	194	28		383			429			29
87	331	316	29		395			444			29
88	419	336	38		462			513			29
89	451	139	50		572			622			29
90	178	355	18		380			428			30
91	438	193	45		199			247			29
92	420	161	39		365			414			30
93	88	203	18		302			353			29
94	365	47	43		428			474			30
95	478	340	42		358			409			29
96	6	111	23		361			408			29
97	186	295	48		395			446			29
98	479	337	11		385			431			29
99	121	133	32		260			309			29
100	12	68	22		330			376			30
101	123	86	47		512			560			30
102	102	164	49		421			468			29
103	363	183	20		320			370			29
104	223	311	38		390			439			29
105	162	291	24		477			525			29
106	201	340	17		433			479			29
107	212	355	42		373			419			30
108	279	157	36		202			250			30
109	316	74	22		432			478			30
110	50	253	21		435			483			29
111	39	220	45		457			504			29
112	313	192	48		193			239			29
113	117	91	35		309			355			29
114	343	160	46		554			605			29
115	239	58	15		285			333			29
116	355	324	50		394			441			29
117	480	147	16		273			324			29
118	138	155	27		432			482			30
119	26	147	12		332			383			29
120	173	278	14		371			421			29
121	88	64	43		367			417			29
122	360	53	41		681			727			29
123	252	323	19		427			476			29
124	306	379	16		398			449			30
125	21	109	30		488			534			29
126	30	202	27		343			392			29
127	271	111	15		499			547			29
128	175	250	40		290			339			29
129	406	0	16		514			565			29
130	103	182	13		291			337			29
131	282	335	28		339			389			29
132	47	289	13		399			449			29
133	194	111	11		149			196			29
134	209	306	50		426			474			29
135	68	221	40		331			379			29
136	89	317	13		385			433			30
137	323	47	36		511			558			29
138	78	162	42		395			445			29
139	459	18	23		318			368			29
140	276	61	43		319			369			29
141	131	339	48		368			418			29
142	392	14	21		314			364			30
143	400	382	36		422			471			29
144	271	179	13		378			426			29
145	461	310	13		404			451			29
146	490	330	38		413			459			30
147	221	86	46		265			315			29
148	306	302	16		288			335			29
149	414	141	25		558			609			29
150	299	67	37		721			771			29
151	197	304	35		303			354			29
152	218	328	40		416			467			29
153	355	10	11		168			215			29
154	233	77	12		374			425			29
